"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
National,X,2015,40,1139,4,65,2,10,0,1,0
National,X,2015,41,1152,5,41,2,7,3,0,0
National,X,2015,42,1198,10,50,1,8,3,2,0
National,X,2015,43,1244,9,31,4,9,1,4,0
National,X,2015,44,1465,4,23,4,9,1,4,0
National,X,2015,45,1393,11,34,1,10,4,2,0
National,X,2015,46,1458,17,42,1,4,0,4,0
National,X,2015,47,1157,17,24,0,4,3,9,0
National,X,2015,48,1550,27,36,3,9,3,12,0
National,X,2015,49,1518,38,37,3,11,2,11,0
National,X,2015,50,1475,69,39,0,10,4,19,0
National,X,2015,51,1245,89,33,1,12,3,28,0
National,X,2015,52,1485,146,56,1,13,9,35,0
National,X,2016,1,1840,232,67,2,14,12,52,0
National,X,2016,2,1748,256,89,5,47,23,60,0
National,X,2016,3,1945,361,99,13,45,25,83,0
National,X,2016,4,2567,526,159,15,97,28,104,0
National,X,2016,5,2727,672,171,13,98,62,143,0
National,X,2016,6,3202,891,236,17,161,71,206,0
National,X,2016,7,3898,1340,256,19,179,103,309,0
National,X,2016,8,4551,1672,232,28,215,156,383,0
National,X,2016,9,4687,1886,313,32,211,143,347,0
National,X,2016,10,5095,2173,313,47,246,162,333,0
National,X,2016,11,4111,1514,213,24,185,154,278,0
National,X,2016,12,3357,1058,198,19,185,117,207,0
National,X,2016,13,3071,807,180,33,208,127,211,0
National,X,2016,14,2403,534,135,33,173,106,163,0
National,X,2016,15,2090,383,117,16,148,88,162,0
National,X,2016,16,1816,276,127,16,158,86,163,0
National,X,2016,17,1491,167,98,5,94,78,119,0
National,X,2016,18,1125,77,59,2,80,53,82,0
National,X,2016,19,1019,53,62,2,53,36,71,0
National,X,2016,20,816,35,77,4,44,14,50,0
National,X,2016,21,639,16,44,2,30,22,32,0
National,X,2016,22,482,4,13,1,24,14,35,0
National,X,2016,23,464,5,15,1,14,6,17,0
National,X,2016,24,424,7,18,0,6,6,10,0
National,X,2016,25,320,5,22,0,10,9,11,0
National,X,2016,26,325,3,18,3,4,6,9,0
National,X,2016,27,271,2,18,0,5,5,9,0
National,X,2016,28,291,1,21,1,3,2,11,0
National,X,2016,29,297,2,18,1,4,0,10,0
National,X,2016,30,298,2,38,0,2,2,10,1
National,X,2016,31,351,1,45,2,0,1,4,3
National,X,2016,32,351,6,28,0,1,3,12,10
National,X,2016,33,376,1,29,0,3,1,7,4
National,X,2016,34,364,5,28,0,2,2,6,0
National,X,2016,35,408,7,33,0,5,4,2,0
National,X,2016,36,400,3,45,0,6,1,3,0
National,X,2016,37,553,8,55,2,10,4,6,0
National,X,2016,38,622,6,77,0,8,3,5,0
National,X,2016,39,696,5,73,1,5,11,0,0
National,X,2016,40,901,9,86,0,1,5,4,0
National,X,2016,41,967,10,80,0,3,6,6,0
National,X,2016,42,1133,12,126,2,1,8,9,0
National,X,2016,43,1165,13,124,4,6,3,3,0
National,X,2016,44,1295,12,117,3,4,10,5,0
National,X,2016,45,1272,5,151,1,6,5,1,0
National,X,2016,46,1344,9,187,2,14,6,1,0
National,X,2016,47,1083,4,157,16,10,4,3,0
National,X,2016,48,1681,11,301,11,20,14,5,0
National,X,2016,49,1817,12,454,3,6,16,7,0
National,X,2016,50,2136,17,691,8,19,22,16,0
National,X,2016,51,2291,24,905,9,18,35,24,0
National,X,2016,52,2796,25,1338,30,16,46,33,0
National,X,2017,1,3064,34,1467,32,30,27,39,0
National,X,2017,2,1761,16,761,47,20,10,21,0
